TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD,Latitude,Longitude
Terrorism,2017,4,11,10,23,UpperHill,-1.298163388,36.81816375
Armed Robbery,2018,5,14,16,0,Githurai,-1.204866636,36.92777526
Pick Pocketing,2018,11,25,15,14,Thika,-1.055464524,37.10123903
Carjacking,2018,7,9,15,27,Ngong,-1.366907424,36.67197658
Pick Pocketing,2018,5,12,16,11,Uhuru Park,-1.291912768,36.81687435
Carjacking,2019,12,13,22,8,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2017,5,4,6,3,Ngong,-1.375659647,36.6759248
Fraud,2017,10,12,5,23,Ngong,-1.375659647,36.6759248
Fraud,2019,1,14,15,22,South B,-1.314378142,36.83863298
Carjacking,2017,1,3,16,29,Githurai,-1.203064589,36.9597901
Fraud,2019,9,14,12,29,Githurai,-1.203965613,36.91241157
Pick Pocketing,2019,7,27,3,48,Githurai,-1.210787637,36.91850554
Sexual Assault,2020,9,6,5,2,Thika,-1.055464524,37.10123903
Carjacking,2017,4,20,18,60,South B,-1.309873212,36.83713094
Fraud,2018,4,4,11,4,Kibera,-1.313956462,36.79674767
Carjacking,2017,5,13,6,3,South B,-1.315525825,36.83550016
Carjacking,2017,9,24,12,22,Kahawa West,-1.187060648,36.8999232
Carjacking,2020,5,27,23,51,South C,-1.327222385,36.83938373
Carjacking,2017,7,3,3,35,Kahawa West,-1.188605268,36.89691913
Road Carnage,2019,11,8,11,22,South C,-1.315895748,36.82659496
Pick Pocketing,2020,12,18,1,44,Kibera,-1.313377257,36.79784201
Terrorism,2017,10,15,5,50,Thika,-1.055464524,37.10123903
Sexual Assault,2018,12,10,13,9,Thika,-1.03581257,37.08390123
Road Carnage,2020,7,4,4,23,Githurai,-1.210787637,36.91850554
Armed Robbery,2019,8,23,17,35,South C,-1.315895748,36.82659496
Carjacking,2019,9,16,1,18,Kahawa West,-1.188605268,36.89691913
